Measurement,Source 1,Source 2,Value,Units
AMPLITUDE,CH1,,975.71,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,-13.00,Deg
FREQUENCY,CH1,,99.00,Hz
AMPLITUDE,CH1,,911.27,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,-25.00,Deg
FREQUENCY,CH1,,199.00,Hz
AMPLITUDE,CH1,,823.43,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,-34.00,Deg
FREQUENCY,CH1,,299.00,Hz
AMPLITUDE,CH1,,735.65,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,-42.00,Deg
FREQUENCY,CH1,,400.00,Hz
AMPLITUDE,CH1,,655.77,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,-49.00,Deg
FREQUENCY,CH1,,500.00,Hz
AMPLITUDE,CH1,,591.51,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,-54.00,Deg
FREQUENCY,CH1,,599.00,Hz
AMPLITUDE,CH1,,527.48,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,-58.00,Deg
FREQUENCY,CH1,,700.00,Hz
AMPLITUDE,CH1,,480.22,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,-61.00,Deg
FREQUENCY,CH1,,800.00,Hz
AMPLITUDE,CH1,,440.31,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,-64.00,Deg
FREQUENCY,CH1,,900.00,Hz
AMPLITUDE,CH1,,375.97,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,-67.00,Deg
FREQUENCY,CH1,,1000.00,Hz
AMPLITUDE,CH1,,211.90,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,-77.00,Deg
FREQUENCY,CH1,,1999.00,Hz
AMPLITUDE,CH1,,107.99,mV
AMPLITUDE,CH2,,999.39,mV
PHASE,CH1,CH2,-82.00,Deg
FREQUENCY,CH1,,2999.00,Hz
